dim,n_samples,n_vines,decreasing,algorithm,seed,loglik_dissmann,time_dissmann,kl_dissmann,loglik_forest,time_forest,kl_forest,prop_better,forest_over_dissmann
5,100,1,True,jck,10,311.25561198276165,0.02778172492980957,0.9437392529672161,300.05067317955144,0.025028467178344727,0.8970091740509701,0.0,0.9640008456977451
5,100,1,True,wilson,10,311.25561198276165,0.03233194351196289,0.9437392529672161,307.9506230253687,0.022953033447265625,0.8790136069017409,0.0,0.9893817530346216
5,100,1,False,jck,10,351.03333411063676,0.025364160537719727,2.5187577989596988,324.24232367687677,0.030898094177246094,2.844458244706063,0.0,0.9236795830184146
5,100,1,False,wilson,10,351.03333411063676,0.02052021026611328,2.5187577989596988,345.6019164499324,0.02591705322265625,2.6903627672417336,0.0,0.9845273450327298
5,100,10,True,jck,10,311.25561198276165,0.022282838821411133,0.9437392529672161,315.2614982805336,0.23105692863464355,0.8773165849463409,0.1,1.0128700853689148
5,100,10,True,wilson,10,311.25561198276165,0.026769638061523438,0.9437392529672161,314.23816237853384,0.2553422451019287,0.9104505795759487,0.1,1.0095823184577226
5,100,10,False,jck,10,351.03333411063676,0.025026798248291016,2.5187577989596988,356.03700232006713,0.24068212509155273,2.393950693896313,0.1,1.014254111285777
5,100,10,False,wilson,10,351.03333411063676,0.022350072860717773,2.5187577989596988,355.1660298994287,0.2427661418914795,2.3872760100296353,0.2,1.011772944011891
5,100,100,True,jck,10,311.25561198276165,0.02317047119140625,0.9437392529672161,321.19830913084866,2.3272716999053955,1.1816896202689826,0.29,1.0319438325457009
5,100,100,True,wilson,10,311.25561198276165,0.024022579193115234,0.9437392529672161,319.98185806111815,2.383796453475952,1.197605637141314,0.3,1.0280356264832256
5,100,100,False,jck,10,351.03333411063676,0.021172285079956055,2.5187577989596988,360.18644600922056,2.319873332977295,2.496130605739073,0.21,1.0260747655825158
5,100,100,False,wilson,10,351.03333411063676,0.02177596092224121,2.5187577989596988,357.9280121772513,2.3332791328430176,2.591417677466098,0.28,1.0196410921603287
5,100,500,True,jck,10,311.25561198276165,0.023773908615112305,0.9437392529672161,321.629197259719,11.771045446395874,0.9250072166153656,0.324,1.033328187115649
5,100,500,True,wilson,10,311.25561198276165,0.0272216796875,0.9437392529672161,320.368885871056,11.937347650527954,0.9804235703974611,0.342,1.0292790669065883
